PTNBH	Provinsi asal peminat	Jumlah pendaftar SNBT-UTBK	% of Total
UNIVERSITAS GADJAH MADA	Kalimantan Barat	871	1
UNIVERSITAS GADJAH MADA	Kalimantan Selatan	527	0.6
UNIVERSITAS GADJAH MADA	Kalimantan Tengah	377	0.4
UNIVERSITAS GADJAH MADA	Kalimantan Timur	1079	1.2
UNIVERSITAS GADJAH MADA	Kalimantan Utara	116	0.1
UNIVERSITAS GADJAH MADA	Kepulauan Bangka Belitung	338	0.4
UNIVERSITAS GADJAH MADA	Kepulauan Riau	781	0.9
UNIVERSITAS GADJAH MADA	Lampung	1537	1.7
UNIVERSITAS GADJAH MADA	Maluku	220	0.2
UNIVERSITAS GADJAH MADA	Maluku Utara	177	0.2
UNIVERSITAS GADJAH MADA	Nusa Tenggara Barat	932	1
UNIVERSITAS GADJAH MADA	Nusa Tenggara Timur	611	0.7
UNIVERSITAS GADJAH MADA	Papua	321	0.4
UNIVERSITAS GADJAH MADA	Papua Barat	123	0.1
UNIVERSITAS GADJAH MADA	Riau	1693	1.9
UNIVERSITAS GADJAH MADA	Sulawesi Barat	99	0.1
UNIVERSITAS GADJAH MADA	Sulawesi Selatan	984	1.1
UNIVERSITAS GADJAH MADA	Sulawesi Tengah	343	0.4
UNIVERSITAS GADJAH MADA	Sulawesi Tenggara	368	0.4
UNIVERSITAS GADJAH MADA	Sulawesi Utara	324	0.4
UNIVERSITAS GADJAH MADA	Sumatera Barat	1678	1.9
UNIVERSITAS GADJAH MADA	Sumatera Selatan	1547	1.7
UNIVERSITAS GADJAH MADA	Sumatera Utara	3450	3.9
UNIVERSITAS HASANUDDIN	Aceh	8	0
UNIVERSITAS HASANUDDIN	Bali	16	0
UNIVERSITAS HASANUDDIN	Banten	126	0.3
UNIVERSITAS HASANUDDIN	Bengkulu	5	0
UNIVERSITAS HASANUDDIN	DI Yogyakarta	75	0.2
UNIVERSITAS HASANUDDIN	DKI Jakarta	187	0.4
UNIVERSITAS HASANUDDIN	Gorontalo	321	0.7
UNIVERSITAS HASANUDDIN	Jambi	21	0
UNIVERSITAS HASANUDDIN	Jawa Barat	413	0.9
UNIVERSITAS HASANUDDIN	Jawa Tengah	109	0.2
UNIVERSITAS HASANUDDIN	Jawa Timur	283	0.6
UNIVERSITAS HASANUDDIN	Kalimantan Barat	33	0.1
UNIVERSITAS HASANUDDIN	Kalimantan Selatan	66	0.1
UNIVERSITAS HASANUDDIN	Kalimantan Tengah	21	0
UNIVERSITAS HASANUDDIN	Kalimantan Timur	514	1.1
UNIVERSITAS HASANUDDIN	Kalimantan Utara	377	0.8
UNIVERSITAS HASANUDDIN	Kepulauan Bangka Belitung	13	0
UNIVERSITAS HASANUDDIN	Kepulauan Riau	51	0.1
UNIVERSITAS HASANUDDIN	Lampung	13	0
UNIVERSITAS HASANUDDIN	Maluku	286	0.6
UNIVERSITAS HASANUDDIN	Maluku Utara	259	0.5
UNIVERSITAS HASANUDDIN	Nusa Tenggara Barat	237	0.5
